10.31247406,5
14.40525277,10
17.93311934,15
21.39473682,20
26.36020595,25
30.0695564,30
34.59022348,35
40.02008723,40
45.02562178,45
51.54716835,50
55.82362133,55
61.26372297,60
65.55486792,65
69.57661793,70
75.10765803,75
80.38086657,80
87.33143966,85
7.951295054,5
11.56279163,10
15.50649148,15
19.72845729,20
23.85236353,25
28.24080497,30
33.06949571,35
37.67579986,40
43.16626465,45
48.40908457,50
53.91027808,55
59.65036978,60
64.97517271,65
70.23958808,70
75.34002719,75
80.24268653,80
86.65630164,85
7.009009003,5
11.02913462,10
15.04116127,15
19.27926263,20
23.43994767,25
27.81787782,30
32.50990688,35
37.43645801,40
42.53935139,45
47.82941559,50
53.38120786,55
58.99297018,60
64.49064466,65
69.46927922,70
74.17429483,75
78.13719477,80
83.62441069,85
6.423424652,5
10.902994,10
15.28997909,15
19.51785912,20
23.94488489,25
28.43149824,30
33.21453598,35
38.20671402,40
43.35171012,45
48.92487706,50
54.44308492,55
60.16356,60
65.23987516,65
70.36120265,70
75.49029361,75
78.62814446,80
83.87072117,85
5.603054081,5
11.03486008,10
15.01705566,15
19.37420101,20
23.70138042,25
28.22953817,30
33.03529772,35
38.45005664,40
43.36723194,45
48.83098331,50
54.53986026,55
60.0155983,60
65.44403254,65
70.36295471,70
74.72924396,75
78.32465411,80
84.78302717,85
4.576957159,5
10.41158,10
14.77597432,15
19.28752436,20
24.28695455,25
28.59553416,30
33.62219547,35
39.27038855,40
44.32706378,45
49.67507213,50
55.21758993,55
60.87190607,60
66.01493682,65
70.88362447,70
74.60589114,75
79.06376885,80
85.45208583,85
4.203168206,5
10.53421297,10
15.19573053,15
19.7279091,20
24.67685652,25
29.42659613,30
34.36687122,35
40.26384576,40
44.88041189,45
50.58706809,50
56.21258778,55
61.7174659,60
66.73224386,65
71.58409365,70
75.16378509,75
79.54382752,80
85.34402008,85
4.256864234,5
10.63728031,10
15.67218307,15
19.97425856,20
24.72873812,25
29.71238347,30
34.96350733,35
40.31407805,40
45.73750394,45
51.32991037,50
57.06240473,55
62.66805705,60
67.42197788,65
72.11907573,70
75.61007693,75
79.96301328,80
84.74364518,85
3.606776173,5
9.59221954,10
